formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
저도 꽁치를 즐겨 먹었었는데, 너무 많이 먹어서 무슨 문제가 생긴걸까요?	저도 꽁치를 즐겨 먹었었는데, 너무 많이 먹어서 무슨 문제가 생긴걸까요?	안드로이드. 꽁치. 즐겼다. 그러나. 섭취량. 과다. 문제. 생김.	나도 꽁치 거 즐겨 먹었는데,,, 너무 많이 먹어서 뭔 문제가 생긴 건가 싶고	나도 꽁치 즐겨 먹는데, 너무 많이 먹어서 뭔가 문제 생긴걸까?..	나도 꽁치 ㅈㄴ 먹었는데 너무 많이 먹어서 문제 생긴 건가 ㅋㅋ	나도 꽁치 즐겨 먹었었는데, 너무 많이 먹어서 무슨 문제 생긴건가?...(┬┬﹏┬┬)	나도 꽁치 즐겨먹는뎅,, 넘 많이 먹어서 뭔 문제가 생긴걸까아~?	저도 꽁치를 즐겨 먹었습니다. 너무 많이 먹어서 문제가 생긴 걸까요?	나도…꽁치 참말로 좋아해서 즐겨먹는디…너무 먹어서 무슨 문제라도 생긴게 아닌겨?...	나도 꽁치 염병하게 쳐먹었는디, 넘 많이 쳐먹어서 지랄났것냐	나도 꽁치 자주 먹는데 ㅡㅡ 너무 많이 먹었나	짐 또한 꽁치를 즐겼는데, 너무 많이 먹은 탓에 문제가 생겼겠는가?	나도 꽁치 즐겨 먹는데 너무 많이 먹어서 무슨 문제라도 생긴게 아닌거냐니깐…	소생도 꽁치를 즐겨 먹었는데 너무 많이 먹어서 무슨 문제가 생긴것일지도 모르겠소	나도 꽁치 즐겨 먹었는데.. 너무 많이 먹어서 문제가 생겼을까 혹시..?	나 또한 꽁치를 즐깁니다, 과식이 가져온 문제입니까?
의사 선생님은 뭐라고 하셨어요?	의사 선생님은 뭐라고 하셨어요?	의사. 의견. 무엇인가.	의사 선생님은 뭐라셔?	의사 샘은 뭐라고 함?	의사 쌤이 뭐라함?	의사 샘은 뭐라고 하셨어?(⊙_⊙)？	의사 선생님은 뭐라고 했엉?	의사 선생님은 뭐라고 하셨나요?	의사..선생님께선…뭐라고 하신겨?...	의사 양반은 뭐라 안허냐?	의사가 뭐라는데	의원은 뭐라고 하였는가?	의사는 뭐라고 하냐니깐!	의사 선생공께선 뭐라고 하셨소?	의사선생님은 뭐라고 했어 혹시..?	의사의 의견은 무엇?
아직 정확한 원인은 모르고, 생선 알레르기가 영구적일지도 두고 봐야 한다고 합니다.	아직 정확한 원인은 모르고, 생선 알레르기가 영구적일지도 두고 봐야 한다고 합니다.	정확한. 원인. 미발견. 생선. 알레르기. 영구성. 확인 필요.	아직 정확한 원인은 모른다구,, 생선 알러지가 영구적일지도 두고 봐야 한다지	아직 정확한 원인은 모르시고, 생선 알레르기가 영구적일지도 두고 봐야 한다고 하시네…	아직 정확한 원인은 모르고 그냥 생선 알레르기가 영구적일지도 두고 봐야한대	아직 정확한 원인은 모르겠고, 생선 알레르기가 영구적일지도 두고 봐야 한다고 하셨어 ( ˘︹˘ )	아직 정확한 원인은 모르구,, 생선 알레르기가 영구적일지도 두고 봐야 한다고,,ㅜ	아직 정확한 원인은 모르고, 생선 알레르기가 영구적일지도 두고 봐야한다고 하셨습니다.	아직 정확히….이유는 모르겄고…생선 알레르기도…계소갈지 안갈지 두고 봐야한다고 하셨구먼…	염병 정확한 원인도 모르고, 이 지랄이 영구적일지도 두고 봐야 한다 지랄이지	정확한 원인은 모르겠는데 생선 알레르기가 영구적일지는 봐야된대	아직 정확한 원인은 모르겠으나, 생선 거부반응이 영구적일지 또한 두고 보아야 한다고 하오.	아직 정확한 이유는 모르겠고, 생선 알레르기가 영구적일지도 두고 봐야한다고 하셨다니깐…	아직 정확한 원인은 모른다고 하셨소! 생선알레르기가 영구적일지도 두고 봐야한다고 하셨소!	아직 정확한 원인은 모르고.. 생선 알레르기가 영구적일지는 두고 봐야 한대..	정확한 원인의 파악은 아직 어렵다, 생선 알레르기의 영구성은 파악하지 못한.
일시적인 현상이였으면 좋겠네요.	일시적인 현상이였으면 좋겠네요.	일시적. 현상. 바란다.	일시적인 현상이였음 좋겟네~	일시적인 현살인거면 좋겠다	일시적인 거면 좋겠네	일시적인 현상이면 좋겠다. ＞﹏＜	일시적인 현상이였으면 좋겠넹,,	일시적인 현상이길 바랍니다.	일시적인 현상이면 좋겠구먼…	디지기 전에 한번 스쳐지나가는 거길 바라네	일시적인거겠지	일시적인 현상이기를 바라오.	일시적인 현상이면 좋겠다니깐…!	일시적인 현상이면 좋겠소!	일시적인 현상이었으면 좋겠다.. ㅠ	일시적인 현상이기를 기대합니다.
네, 하지만 알레르기가 사라진다고 해도 예전처럼 꽁치를 먹는건 하지 말라고 의사 선생님이 조언해주셨어요.	네, 하지만 알레르기가 사라진다고 해도 예전처럼 꽁치를 먹는건 하지 말라고 의사 선생님이 조언해주셨어요.	긍정. 그러나. 알레르기. 소멸 후. 꽁치. 섭취. 예전처럼. 불가능.	잉~ 근데 알러지 사라져도 전처럼 꽁치 먹진 말라하더라구 의사양반이	네, 하지만 알레르기 사라진다고 예전처럼 꽁치 먹는건 하지 말라고 의사 샘이 말해주셨어	ㅇㅇ 근데 알레르기 사라진대도 예전처럼 꽁치 먹는 건 하지 말래 ㅋㅋ	응, 근데 알레르기가 사라져도 예전처럼 꽁치를 먹는건 하지 말라고 의사 샘이 말해주셨어…(T_T)	웅,, 하지만,, 알레르기가 사라진대도 예전처럼 꽁치를 먹는건 하지 말라고 의사선생님이 조언해주셨엉!	네. 하지만 알레르기가 사라진대도 전처럼 꽁치를 먹진 말라고 의사 선생님이 조언해주셨습니다.	그랬으면 좋겠구먼…그런데 알레르기가 사라져도…예전처럼 꽁치 먹는건 하지말라고 의사 슨생님께서 그러시더구먼…	염병 의사양반이 알러지 사라져도 전처럼 꽁치 쳐먹는 건 안된디야	ㅇ 근데 알레르기 사라져도 꽁치 먹지 말라하던데 의사선생님이	그렇소. 허나 거부반응이 사라지더라도 예전처럼 꽁치를 먹는건 지양하라고 의원이 조언해 주었소.	그렇다니깐! 그런데 알레르기가 사라진다고 해도 예전처럼 꽁치를 먹는건 하지 말라고 의사 선생님이 말씀해주셨다니깐!	그랬으면 좋겠소! 그런데 알레르기가 사라지더라도 예전처럼 꽁치를 먹는 하지 말라고 의사 선생공께서 말씀해주셨소…	응.. 근데 알레르기 사라져도 예전처럼 꽁치 먹는건 하지 말라고 의사 선생님이 그러셨어..	그런, 그러나 의사에 의하면, 알레르기의 실종이 꽁치 섭취를 의미하는 것이 아닙니다.
뭐든지 너무 많이 먹으면 안 먹느니만 못하게 되죠.	뭐든지 너무 많이 먹으면 안 먹느니만 못하게 되죠.	종목. 무관. 과다. 섭취. 나쁘다.	뭐든 너무 많이 먹으면 안 먹느니만 못하게 되는겨~	뭐든 너무 많이 먹으면 안먹느니만 못하지	뭐든 과유불급이지 뭐 	뭐든지 너무 많이 먹으면 안 먹느니만도 못하게 되지…（；´д｀）ゞ	뭐든 넘 많이 먹음 안 먹으니만 못하징,,	뭐든 과유불급이지요.	뭐든지 너무 많이 먹으면 안 먹느니만도 못하게 되는거여…	뭐든 오지게 쳐먹으면 안 쳐먹느만 못허지	당연히 뭐든 너무 많이 먹으면 안먹는거만 못하지 ㅡㅡ	뭐든 지나치게 먹으면 먹지 않은것만 못할 따름이오.	뭐든지 너무 많이 먹으면 안 먹느니만 못하게 된다니깐!	뭐든 너무 많이 먹으면 안 먹는니만 못하게 되는 것 같소!	뭐든지 너무 많이 먹으면 안 먹느니만 못한 것 같아..	과잉 섭취는 먹지 않는 것보다 열세에 있다.
생선을 못 먹으니 삶의 낙이 사라지는 것 같아요.	생선을 못 먹으니 삶의 낙이 사라지는 것 같아요.	생선. 섭취. 불가. 삶의 낙. 사라짐.	생선을 못 먹으니 삶의 낙이 사라지는 거 같어	생선을 못 먹으니까 사람의 낙이 사라지는 것 같아...	생선을 못 먹으니까 삶의 낙이 사라진 거 같음	생선 못 먹으니까 삶의 낙이 사라진 것 같아…   （；´д｀）ゞ（；´д｀）ゞ	생선 못 먹으니 삶의 낙이 사라지는 거 가타,,,	생선을 못 먹으니 삶의 낙이 사라진 것 같습니다.	생선을 못 먹으니 삶의 낙이 사라지는 것 같구먼…	생선을 못 먹으니 염병할 삶의 낙이 읎네 읎어	생선 못먹으니까 사는게 낙이 없다	생선을 먹지 못하니, 마치 삶의 낙이 사라지는 것 같소.	생선을 못 먹으니까 삶의 낙이 사라지는 것 같다니깐!	생선을 먹지 못하니 삶의 낙이 사라진 것 같소…	생선 못먹으니까 삶의 낙이 사라지는 것 같아..	생선 섭취 불가 판정은 나의 행복을 없앤다.
걱정 마세요. 맛있는 음식들을 추천해드릴게요.	걱정 마세요. 맛있는 음식들을 추천해드릴게요.	걱정. 필요 없다. 맛있는. 음식. 추천한다.	걱정 마~,, 맛난 음식 추천해줄랑께	걱정마, 맛잇는 음식들 추천해줄게	ㄱㅊ 맛있는 음식 추천해드림	걱정마! 내가 맛잇는 음식들추천해 줄게             ヽ(￣ω￣(￣ω￣〃)ゝ	걱정하지망,, 맛있는 음식들 추천해줄게!	걱정 마세요. 맛있는 음식들을 추천해드리겠습니다.	걱정하지 마시게….내가 맛있는 음식들 추천해주겠네…	지랄말어 맛난 음식 추천해줄텡게	음식 추천해줘?	심려 말게나. 진미들을 추천해 주겠소.	걱정말라니깐! 이 내가 맛있는 음식들을 추천해 주겠다니깐!	걱정마시오! 소생이 맛있는 음식을 추천해주겠소!	걱정 말아도 될 것 같아.. 맛있는 음식 추천해 줄게	걱정 마세요, 나는 맛있는 음식을 추천해 준다.
																
안녕하세요, 제 이름은 미치이고 미치의 메이크업 채널을 유튜브에서 운영하고 있어요.	안녕 친구, 내 이름은 미치고 미치의 메이크업 채널을 유튜브에서 운영하고 있어.	반갑다. 휴먼. 안드로이드. 이름. 미치. 미치의 메이크업 채널. 유튜브. 운영중.	안녕~? 내 이름은 미치고 미치의 메이크업 채널을 운영 중이여	ㅎㅇ 친구, 내 이름은 미치라고하고 미치의 메이크업 채널이라는 유튜브를 운영하고 있어	칭구 ㅎㅇ 난 미치임 ㅋㅋ 미치의 메이크업 채널 유튜브 운영 중!	안녕! 친구야! ヾ(^▽^*))) 내 이름은 미치라고 해! ^0^ 미치의 메이크업이라는 유튜브 채널을 운영하고 있어! ☆⌒(*＾-゜)v	안뇽~ 내 이름은 미치얌! 미치의 메이크업 채널을 유튭에서 운영하고 있었징~	안녕하십니까. 제 이름은 미치이고 미치의 메이크업 채널을 유튜브에서 운영 중입니다.	안녕하신가…내 이름은…미치여…유튜브에서…미치의 메이크업이라는 채넣을 운영하고 있구먼…	염병 내 이름은 미치고, 미치의 메이크업 채널을 유튜브에서 운영중이네	ㅎㅇ 나 미치인데 미치의 메이크업 채널 운영중임 유튜브에서	반갑네 벗이여. 짐의 이름은 미치고, 미치의 메이크업 채널을 유튜브에서 운영하고 있다네.	안녕하냐니깐! 내 이름은 미치고, 유튜브에서 미치의 메이크업이라는 채널을 운영하고 있다니깐! 	안녕하시오! 소생의 이름은 미치라 하오! 미치의 메이크업이라는 유튜브 채널을 운영하고 있소!	안녕 친구야.. 내 이름은 미치고 미치의 메이크업 채널을 유튜브에서 운영하고 있어..	친구 반가운, 나의 이름은 미치이다, 미치의 메이크업 채널을 유튜브에서 운영하는 중입니다.
굉장히 흥미로워 보이는 채널인데, 학교 끝나고 한번 들어가 볼게요. 주로 무슨 내용인가요?	굉장히 흥미로워 보이는 채널인데, 학교 끝나고 한번 들어가 볼게. 주로 무슨 내용이야?	채널. 흥미로워. 보인다. 하교. 후. 들어가. 본다. 내용. 무엇인가.	재밌어 보이는디, 학교 끝나고 함 들어가 볼게~ 뭔 내용이데?	꽤 흥미가는 채널인데, 학교 끝나면 한 번 들어가볼게, 주로 무슨 내용 다룸?	오 굉장히 흥미로워 보이누 학교 끝나고 한번 볼게 ㅋㅋ 주로 무슨 내용임?	엄청 흥미로운 채널인데 학교 끝나고 한 번 들어가볼게. 보통 무슨 내용이야? (´･ω･`)?	굉장히 흥미로워 보이는 채널인뎅,, 학교 끝나고 한번 들어가 볼게!! 주로 무슨 내용이양?!	굉장히 흥미로워 보이는 채널이군요. 학교 끝나고 한번 들어가 보겠습니다. 주로 어떤 내용을 다루나요?	엄청 흥미로운 채널인것 같구먼…학교 끝나면…한번 보러 들어가보겠네…주로 무슨 내용을 다루는겐가?...	뭔 지랄맞은 채널이데, 학교 끝나고 들어가는 볼게. 주로 뭔 지랄허는디?	ㅋ 흥미롭네 학교끝나고 드가보던지함. 무슨 내용 다루는데	참으로 흥미로운 채널이오, 서당 끝나고 한번 들어가 보겠네. 주로 무슨 내용인가?	엄청 흥미로운 채널인 것 같다니깐! 학교 끝나고 한번 들어가보겠다니깐! 보통 무슨 내용이냐니깐!	엄청 흥미로워 보이는 채널인 것 같소! 학교 끝나고 한번 들어가보겠소! 보통 무슨 내용인것이오?	흥미로워 보이는 채널이네.. 학교 끝나고 한번 들어가 볼게.. 주로 무슨 내용이야 혹시..?	그 채널은 상당한 흥미를 가진. 학교 끝나고 들어가 보겠습니다, 내용은 무엇?
주로 메이크업 조언을 해주는 채널입니다.	주로 메이크업 조언을 해주는 채널이야.	채널. 주 내용. 메이크업 조언.	주로 메이크업 조언을 해주는 채널이여	주로 메이크업 조언 해주는 채널이야	주로 메이크업 조언 해주는 중 ㅋㅋ	주로 메이크 업 조언해주는 채널이야 ヽ(￣ω￣(￣ω￣〃)ゝ	주로 메이크업 조언을 해주는 채널이얌 ㅎㅎ	주로 메이크업 조언을 해주는 채널입니다.	주로…메이크업을 조언 해주는 채널이구먼…	주로 얼굴에 화장품 쳐바르는 거 조언해주는 채널이여	메이크업 조언 해주는 채널인데 왜	주로 메이크업 조언을 해주는 채널이오.	주로 메이크업 조언해주는 채널이라니깐!	주로 메이크업을 조언해주는 채널이오! 	주로 메이크업 조언 해주는 채널이야..	채널은 주로 메이크업 조언이 있다.
재미있는 주제네요. 저도 사실 메이크업에 대한 조언이 있었으면 좋았을 상황이 몇 번 있었어요.	재미있는 주제네, 나도 사실 메이크업에 대한 조언이 있었으면 좋았을 상황이 몇 번 있었는데.	주제. 재미있다. 안드로이드. 메이크업. 조언. 필요하다. 해당 상황. 몇번. 있었다.	재밌는 주제네 나도 사실 메이크업에 대한 조언이 있었으면 좋았을 상황이 몇번 있었걸랑	재미있는 주제네, 나도 사실 메이크업에 대한 조언 있었으면 좋았을 상황이 몇 번 있었어	유잼각 ㅋㅋ 나도 메이크업 조언 필요한 상황 있었는데	재미있는 주제네, 나도 사실 메이크업에 대한 조언 있었으면 좋았겠다 하는 때가 몇 번 있었는데! ( •̀ ω •́ )✧	재밌는 주제넹!! 나도 사실 메이크업에 대한 조언이었음 좋았을 상황이 몇번 있었어ㅜㅜ	흥미로운 주제네요. 저도 사실 메이크업에 대한 조업이 있었으면 하는 상황이 몇 번 있었습니다.	재미있는 주제구먼…나도 사실…메이크업 조언 같은거 받으면 좋겠다…했던 때가 있었구먼…	니기럴 거 나도 사실 화장품 쳐 바르는 거에 대해서 누가 시부려줬으면 한 상황이 있긴혔어	재밌네 ㅋ 나도 메이크업 조언 좀 받으면 나았을텐데	재미있는 주제로오. 짐 또한 사실 메이크업에 대한 조언이 필요했던 상황이 몇 번 있었네.	재미있는 주제라니깐! 나도 사실 메이크업에 조언 같은거 받으면 좋았겠다 했던 때가 몇 번 있었다니깐!	재미있는 주제인 것 같소! 사실 소생도 메이크업에 대해서 조언있었으면 좋겠다 한 때가 몇 번 있었던 것이오! 	재밌는 주제네.. 나도 사실 메이크업 조언 있으면 좋았을 뻔 한적 몇 번 있었는데..	그것은 재미있는 주제인, 나도 메이크업 조언이 필요한 경우가 있었다.
